Class Name - Live Objects,Live Bytes11,Live Bytes12,Live Objects1,size1,Live Bytes21,Live Bytes22,Live Objects2,size2,Live Bytes31,Live Bytes32,Live Objects3,size3
com.intellij.ide.impl.DataValidator$ArrayValidator,0.00%,24,1,24,0.00%,16,1,16,0.00%,24,1,24
com.intellij.ide.impl.PsiElementArrayDataValidator,0.00%,24,1,24,0.00%,16,1,16,0.00%,24,1,24
com.intellij.database.autoconfig.DatabaseConfigFileWatcher,0.00%,24,1,24,0.00%,16,1,16,0.00%,24,1,24
com.intellij.codeInsight.daemon.impl.ExternalToolPassFactory,0.00%,24,1,24,0.00%,16,1,16,0.00%,24,1,24
com.intellij.ide.projectView.impl.ProjectViewImpl$3,0.00%,24,1,24,0.00%,16,1,16,0.00%,24,1,24
com.intellij.xml.index.XmlNamespaceIndex$1,0.00%,16,1,16,0.00%,24,1,24,0.00%,16,1,16
com.intellij.ssh.InitJSchLoggerStartupActivity$JSchLogger,0.00%,16,1,16,0.00%,24,1,24,0.00%,16,1,16
com.intellij.plugins.jboss.arquillian.runConfiguration.ArquillianTestNGRunConfigurationType,0.00%,16,1,16,0.00%,32,1,32,0.00%,16,1,16
com.intellij.plugins.jboss.arquillian.runConfiguration.ArquillianJUnitRunConfigurationType,0.00%,16,1,16,0.00%,32,1,32,0.00%,16,1,16
com.intellij.openapi.util.objectTree.ObjectNode[],0.00%,16,1,16,0.00%,56,2,28,0.00%,16,1,16
com.intellij.openapi.file.exclude.EnforcedPlainTextFileTypeFactory$1,0.00%,16,1,16,0.00%,32,1,32,0.00%,16,1,16
